"Date Purchased","Promise Date","Shipped Date","Delivery Date","Order ID","Order Item ID",Barcode,Qty,Category,Country,Channel,Supplier,Total,"Total USD","Priced At supplier","Order Status","Item Status","Handover to Carrier"
"27/07/2022 16:35:21",30/08/2022,18/08/2022,,92457388,7526777,0602577470844,1,Music,"United States","Amazon US1 [45]","FPW WorldFront Stock LHR [777]","35.12 USD",35.12,"FPW Amazon Music [1956]",Shipped,Shipped,07/09/2022
"27/07/2022 03:53:25",30/08/2022,,,99449580,7524446,9780199481347,1,Books,"United States","Amazon US1 [45]",,"28.85 USD",28.85,"FPW Oxford [1420]",Canceled,"Preparing to Ship",
"26/07/2022 15:49:23",25/08/2022,26/08/2022,,91598679,7523030,0843930048137,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","32.06 USD",32.06,"FPC LA/NJ Isotope Music Ltd CA (Currently LA Only) [2077]",Shipped,Shipped,30/08/2022
"25/07/2022 23:05:07",27/08/2022,10/08/2022,,93529712,7520313,0889698143325,1,Toys,"United States","Amazon US1 [45]","FPW Amazon UK Toys [1589]","27.82 USD",27.82,"FPW Amazon UK Toys [1589]",Shipped,Shipped,15/08/2022
"24/07/2022 17:22:29",26/08/2022,02/08/2022,,95340775,7516517,9781319362546,1,Books,"United States","Amazon US1 [45]","FPW Gardners [16]","128.00 USD",128.00,"FPW Gardners [16]",Shipped,Shipped,02/08/2022
"24/07/2022 14:17:32",26/08/2022,,,91662583,7516026,9780357459799,1,Books,"United States","Amazon US1 [45]",,"80.80 USD",80.80,"FPW Cengage [1501]",Canceled,Pending,
"24/07/2022 08:37:40",24/08/2022,30/07/2022,08/08/2022,99629997,7515006,0013138304582,1,Movies,"United States","Amazon US1 [45]","FPC LA Ingram Entertainment OR/TN/CA [1321]","24.41 USD",24.41,"FPC LA Ingram Entertainment OR/TN/CA [1321]",Shipped,Shipped,03/08/2022
"24/07/2022 08:26:31",26/08/2022,10/08/2022,,92481295,7514964,0849421004996,1,Toys,"United States","Amazon US1 [45]","FPW Amazon UK Toys [1589]","60.42 USD",60.42,"FPW Amazon UK Toys [1589]",Shipped,Shipped,15/08/2022
"23/07/2022 16:31:06",26/08/2022,29/07/2022,,98452963,7512996,9781788705035,1,Books,"United States","Amazon US1 [45]","FPW Gardners [16]","38.29 USD",38.29,"FPW Gardners [16]",Shipped,Shipped,29/07/2022
"23/07/2022 08:23:19",27/08/2022,18/08/2022,,99903675,7511660,9781284242553,1,Books,"United States","Amazon US1 [45]","FRL Booktopia Publisher Services [2076]","67.61 USD",67.61,"FRL Booktopia Publisher Services [2076]",Shipped,Shipped,23/08/2022
"22/07/2022 12:10:17",25/08/2022,,,96717614,7508967,8719039002672,1,Music,"United States","Amazon US1 [45]",,"11.75 USD",11.75,"FPW Proper Music Group - Wholesale Feed [2179]",Canceled,Processing,
"22/07/2022 11:12:47",02/09/2022,03/08/2022,,94251647,7508829,0603967164022,1,Music,"United States","Amazon US1 [45]","FPW Proper Music Group [2082]","15.57 USD",15.57,"FPW Proper Music Group [2082]",Shipped,Shipped,03/08/2022
"22/07/2022 06:26:47",23/08/2022,26/07/2022,,91289980,7508020,0093624904236,1,Music,"United States","Amazon US1 [45]","FPW Warner Music [2108]","51.70 USD",51.70,"FPC Amazon FBA - US1 [2119]",Shipped,Shipped,26/07/2022
"21/07/2022 07:04:56",24/08/2022,26/07/2022,,95483359,7504553,0691688115874,1,Kitchen,"United States","Amazon US1 [45]","FPW Amazon UK Sports & Outdoors [1597]","14.83 USD",14.83,"FPW Amazon UK Sports & Outdoors [1597]",Shipped,Shipped,28/07/2022
"20/07/2022 18:47:12",23/08/2022,29/07/2022,02/08/2022,98604186,7502946,9780861714728,1,Books,"United States","Amazon US1 [45]","FPC LA Ingram CA/OR/TN [1700]","90.07 USD",90.07,"FPC LA Ingram CA/OR/TN [1700]",Shipped,Shipped,29/07/2022
"20/07/2022 14:20:31",23/08/2022,,,99823438,7502214,0699675118921,1,Music,"United States","Amazon US1 [45]",,"19.29 USD",19.29,"FPW Alto Music [2167]",Canceled,Processing,
"20/07/2022 14:20:29",23/08/2022,29/07/2022,,92014826,7502212,0825646426911,1,Music,"United States","Amazon US1 [45]","FPW Gardners Music [1096]","15.92 USD",15.92,"FPW Gardners Music [1096]",Shipped,Shipped,29/07/2022
"19/07/2022 20:24:33",20/08/2022,22/07/2022,,90398114,7499401,5019781026067,1,Health,"United States","Amazon US1 [45]","FPW Amazon UK Health [1644]","19.01 USD",19.01,"FPW Amazon UK Health [1644]",Shipped,Shipped,27/07/2022
"19/07/2022 10:44:50",20/08/2022,08/08/2022,05/09/2022,97303441,7497771,9780765635341,1,Books,"United States","Amazon US1 [45]","FPW Taylor & Francis POD [2083]","201.00 USD",201.00,"FPW Taylor & Francis POD [2083]",Shipped,Shipped,19/08/2022
"19/07/2022 03:05:49",18/08/2022,,,92731069,7496423,0190296805387,1,Music,"United States","Amazon US1 [45]",,"48.35 USD",48.35,"FPC LA/NJ Isotope Music Ltd CA (Currently LA Only) [2077]",Canceled,Processing,
"18/07/2022 01:36:41",17/08/2022,18/07/2022,,93791860,7492905,0602557383102,1,Music,"United States","Amazon US1 [45]",,"37.96 USD",37.96,"FPC Amazon FBA - US1 [2119]",Canceled,Shipped,
"17/07/2022 13:57:11",27/08/2022,27/07/2022,02/08/2022,95631600,7491630,0602537432134,1,Music,"United States","Amazon US1 [45]","FPC LA All Media Supply (AMS) [2007]","15.64 USD",15.64,"FPC LA All Media Supply (AMS) [2007]",Shipped,Shipped,28/07/2022
